herb,symptom,label,score
U393,S345,0,0.0356
U393,S346,0,0.0003
U393,S349,0,0.0003
U393,S350,0,0.0003
U393,S355,0,0.0035
U393,S358,0,0.0128
U393,S359,0,0.0128
U393,S360,0,0.0356
U393,S363,0,0.0065
U393,S368,0,0.0000
U393,S375,0,0.0003
U393,S38,0,0.0266
U393,S380,0,0.0003
U393,S387,0,0.0003
U393,S388,0,0.0000
U393,S389,0,0.0000
U393,S39,0,0.0065
U393,S397,0,0.3750
U393,S398,0,0.5000
U393,S404,0,0.0003
U393,S408,0,0.0035
U393,S410,0,0.0003
U393,S411,0,0.0065
U393,S418,0,0.0000
U393,S42,0,0.0003
U393,S420,0,0.0035
U393,S422,0,0.0000
U393,S428,0,0.0065
U393,S430,0,0.0003
U393,S431,0,0.0000
U393,S437,0,0.0035
U393,S44,0,0.0035
U393,S443,0,0.0000
U393,S444,0,0.0035
U393,S445,0,0.0003
U393,S446,0,0.0000
U393,S447,0,0.0488
U393,S449,0,0.0003
U393,S456,0,0.0000
U393,S462,0,0.0266
U393,S463,0,0.0000
U393,S464,0,0.0000
U393,S466,0,0.0003
U393,S475,0,0.0000
U393,S476,0,0.0000
U393,S477,0,0.0000
U393,S478,0,0.0000
U393,S479,0,0.0000
U393,S48,0,0.1538
U393,S483,0,0.0003
U393,S497,0,0.0035
U393,S498,0,0.0003
U393,S499,0,0.0003
U393,S500,0,0.0000
U393,S501,0,0.1800
U393,S502,0,0.0003
U393,S503,0,0.0000
U393,S62,0,0.1196
U393,S64,0,0.0356
U393,S65,0,0.0128
U393,S66,0,0.0128
U393,S69,0,0.0065
U393,S71,0,0.0065
U393,S73,0,0.0035
U393,S75,0,0.0128
