node	type
SYDE2	gene
ITPRIP	gene
HTR3C	gene
KPNB1	gene
TSR1	gene
SNRPB	gene
OIP5	gene
TMEM179B	gene
TM4SF19-TCTEX1D2	gene
DCAF1	gene
ORMDL2	gene
TMEM120A	gene
DIS3	gene
IQCF1	gene
PDCD4	gene
EAPP	gene
UPF1	gene
TRAF4	gene
NPIPA9	gene
PLK1	gene
BICD2	gene
KRTAP1-1	gene
FAM71C	gene
EIF3B	gene
PBX4	gene
HPCAL1	gene
TPSG1	gene
ZWINT	gene
PPP2CB	gene
DOCK7	gene
CCNT1	gene
PIP4K2A	gene
ZBTB33	gene
ERRFI1	gene
ARRDC5	gene
TDRKH	gene
SEC24C	gene
SEC31A	gene
PIR	gene
KHDRBS1	gene
SUPT3H	gene
TADA1	gene
ADAMTSL5	gene
LAMA3	gene
SCGB1D4	gene
COG6	gene
COG3	gene
STOM	gene
KCNK1	gene
HNF4A	gene
UBE4B	gene
ZNRD2	gene
MTNR1A	gene
UBAP2L	gene
LGALS3	gene
AGPS	gene
TSTD2	gene
FLCN	gene
SH3GLB1	gene
SH3GLB2	gene
SMAD2	gene
NR4A2	gene
TCF4	gene
PBX1	gene
CDCA7L	gene
LOC107987373	gene
EPB41L1	gene
YWHAB	gene
GLUD1	gene
CLNS1A	gene
ROCK1	gene
ARMC7	gene
PTPN11	gene
TLK1	gene
S100A8	gene
IGSF21	gene
BRAP	gene
ZNF382	gene
RIPK1	gene
SIRT2	gene
TWNK	gene
EPB41L5	gene
DVL3	gene
SNX22	gene
USP9X	gene
SMO	gene
NIPA1	gene
SQLE	gene
REEP4	gene
BRD2	gene
CSNK2A1	gene
JPH4	gene
DYNC1LI2	gene
DYNC1LI1	gene
GSN	gene
GAS2L1	gene
PPP1R12A	gene
HDAC7	gene
PARVB	gene
ZNF629	gene
GOLGA6L9	gene
TMOD2	gene
MYDGF	gene
HBM	gene
SCGB2A1	gene
CUL2	gene
RNF7	gene
KIAA1324	gene
TTLL9	gene
PCP4	gene
ITCH	gene
GPATCH2L	gene
GBP2	gene
