symptom1,symptom2,Similarity
C0023530,S192,0.763
C0023530,S20,0.782
C0023530,S200,0.804
C0023530,S21,0.76
C0023530,S213,0.747
C0023530,S214,0.776
C0023530,S215,0.753
C0023530,S216,0.755
C0023530,S217,0.741
C0023530,S22,0.768
C0023530,S221,0.749
C0023530,S234,0.753
C0023530,S244,0.773
C0023530,S246,0.705
C0023530,S25,0.778
C0023530,S252,0.778
C0023530,S260,0.755
C0023530,S27,0.771
C0023530,S273,0.779
C0023530,S279,0.775
C0023530,S282,0.775
C0023530,S286,0.747
C0023530,S291,0.809
C0023530,S294,0.755
C0023530,S297,0.787
C0023530,S299,0.763
C0023530,S30,0.775
C0023530,S300,0.772
C0023530,S306,0.783
C0023530,S309,0.706
C0023530,S313,0.783
C0023530,S314,0.758
C0023530,S318,0.819
C0023530,S321,0.765
C0023530,S325,0.742
C0023530,S327,0.72
C0023530,S33,0.794
C0023530,S330,0.775
C0023530,S333,0.805
C0023530,S334,0.759
C0023530,S335,0.756
C0023530,S343,0.759
C0023530,S345,0.815
C0023530,S346,0.755
C0023530,S349,0.774
C0023530,S350,0.774
C0023530,S355,0.762
C0023530,S358,0.767
C0023530,S359,0.782
C0023530,S360,0.807
C0002103,S279,0.745
C0002103,S282,0.778
C0002103,S286,0.721
C0002103,S291,0.806
C0002103,S294,0.737
C0002103,S297,0.782
C0002103,S299,0.752
C0002103,S30,0.762
C0002103,S300,0.768
C0002103,S306,0.788
C0002103,S309,0.656
C0002103,S313,0.78
C0002103,S314,0.723
C0002103,S318,0.874
C0002103,S321,0.761
C0002103,S325,0.719
C0002103,S327,0.683
C0002103,S33,0.797
C0002103,S330,0.766
C0002103,S333,0.84
C0002103,S334,0.748
C0002103,S335,0.732
C0002103,S343,0.731
C0002103,S345,0.818
C0002103,S346,0.74
C0002103,S349,0.787
C0002103,S350,0.79
C0002103,S355,0.74
C0002103,S358,0.747
C0002103,S359,0.792
C0002103,S360,0.86
C0002103,S363,0.765
C0002103,S368,0.825
C0002103,S375,0.683
C0002103,S38,0.749
C0002103,S380,0.803
C0002103,S387,0.732
C0002103,S388,0.722
C0002103,S389,0.591
C0002103,S39,0.778
C0002103,S397,0.777
C0002103,S398,0.809
C0002103,S404,0.741
C0002103,S408,0.745
C0002103,S410,0.733
C0002103,S411,0.768
C0002103,S418,0.732
C0002103,S42,0.764
C0002103,S420,0.896
C0002103,S422,0.704
C0002103,S428,0.713
C0002103,S430,0.693
C0002103,S431,0.69
C0002103,S437,0.854
C0002103,S44,0.791
C0002103,S443,0.751
C0002103,S444,0.746
C0002103,S445,0.772
C0002103,S446,0.743
C0002103,S447,0.866
C0002103,S449,0.792
C0002103,S456,0.763
C0002103,S462,0.889
C0002103,S463,0.768
C0002103,S464,0.724
C0002103,S466,0.733
C0002103,S475,0.673
C0002103,S476,0.673
C0002103,S477,0.673
C0002103,S478,0.696
C0002103,S479,0.736
C0002103,S48,0.803
C0002103,S483,0.777
C0002103,S497,0.75
C0002103,S498,0.687
C0002103,S499,0.738
C0002103,S500,0.726
C0002103,S501,0.784
C0002103,S502,0.744
C0002103,S503,0.726
C0002103,S62,0.747
C0002103,S64,0.776
C0002103,S65,0.787
C0002103,S66,0.826
C0002103,S69,0.74
C0002103,S71,0.739
C0002103,S73,0.753
C0002103,S75,0.734
C0002103,S80,0.696
C0002103,S86,0.767
C0002103,S87,0.782
C0002103,S88,0.775
C0002103,S90,0.757
C0002103,S95,0.778
C0002103,S96,0.762
C0002103,S98,0.793
C0035455,C0009806,0.778
C0035455,C0011991,0.792
C0035455,C0021359,0.776
C0035455,C0014335,0.824
C0023530,S363,0.785
C0023530,S368,0.791
C0023530,S375,0.731
C0023530,S38,0.756
C0023530,S380,0.809
C0023530,S387,0.739
C0023530,S388,0.758
C0023530,S389,0.681
C0023530,S39,0.761
C0023530,S397,0.773
C0023530,S398,0.784
C0023530,S404,0.757
C0023530,S408,0.765
C0023530,S410,0.76
C0023530,S411,0.772
C0023530,S418,0.742
C0023530,S42,0.769
C0023530,S420,0.803
C0023530,S422,0.723
C0023530,S428,0.732
C0023530,S430,0.72
C0023530,S431,0.706
C0023530,S437,0.796
C0023530,S44,0.788
C0023530,S443,0.761
C0023530,S444,0.753
C0023530,S445,0.777
C0023530,S446,0.767
C0023530,S447,0.819
C0023530,S449,0.824
C0023530,S456,0.774
C0023530,S462,0.81
C0023530,S463,0.781
C0023530,S464,0.757
C0023530,S466,0.76
C0023530,S475,0.702
C0023530,S476,0.702
C0023530,S477,0.702
C0023530,S478,0.733
C0023530,S479,0.749
C0023530,S48,0.799
C0023530,S483,0.786
C0023530,S497,0.755
C0023530,S498,0.701
C0023530,S499,0.772
C0023530,S500,0.764
C0023530,S501,0.791
C0023530,S502,0.761
C0023530,S503,0.745
C0023530,S62,0.761
C0023530,S64,0.779
C0023530,S65,0.794
C0023530,S66,0.817
C0023530,S69,0.758
